ID,Tag number,Litter treatment,% EPT
1,70,Hybrid,25
2,280,Hybrid,18.1818182
3,329,Hybrid,23.5294118
4,347,Hybrid,100
5,428,Hybrid,57.1428571
6,102,Mixture,75
7,152,Mixture,75
8,267,Mixture,25
9,456,Mixture,60
10,165,P. trich. ,100
11,191,P. trich. ,33.3333333
12,371,P. trich. ,45.4545455
13,442,P. trich. ,57.1428571
14,209,P. max. ,47.0588235
15,260,P. max. ,80
16,372,P. max. ,0
17,403,P. max. ,0
18,424,P. max. ,0
